INFO 2026-07-01 15:09:21,168 middleware 48660 55616 GET /api/proposals/submissions/?page_size=1 200 0.019s [anonymous]
INFO 2026-07-01 15:09:21,172 middleware 48660 40528 GET /api/grants/opportunities/?page_size=1 200 0.027s [anonymous]
INFO 2026-07-01 15:09:21,175 middleware 48660 58484 GET /api/budgets/financials/?page_size=1 200 0.024s [anonymous]
INFO 2026-07-01 15:09:21,177 middleware 48660 2312 GET /api/notifications/alerts/unread_count/ 200 0.023s [anonymous]
INFO 2026-07-01 15:09:21,194 middleware 48660 58840 GET /api/grants/opportunities/?page_size=1 200 0.012s [anonymous]
INFO 2026-07-01 15:09:21,201 middleware 48660 58484 GET /api/budgets/financials/?page_size=1 200 0.016s [anonymous]
INFO 2026-07-01 15:09:21,204 middleware 48660 55616 GET /api/proposals/submissions/?page_size=1 200 0.026s [anonymous]
INFO 2026-07-01 15:09:21,208 middleware 48660 2312 GET /api/notifications/alerts/unread_count/ 200 0.007s [anonymous]
INFO 2026-07-01 15:11:05,466 middleware 49356 56264 GET /api/auth/profile/ 200 0.070s [anonymous]
INFO 2026-07-01 15:11:05,481 middleware 49356 56264 GET /api/auth/profile/ 200 0.009s [anonymous]
INFO 2026-07-01 15:11:05,869 middleware 49356 56264 GET /api/grants/opportunities/?page=1 200 0.014s [anonymous]
INFO 2026-07-01 15:12:45,434 middleware 49356 38020 POST /api/auth/login/ 401 0.427s [anonymous]
INFO 2026-07-01 15:13:08,507 middleware 49356 38020 POST /api/auth/login/ 200 0.418s [anonymous]
INFO 2026-07-01 15:13:08,515 middleware 49356 38020 GET /api/auth/profile/ 200 0.004s [anonymous]
INFO 2026-07-01 15:13:08,575 middleware 49356 56088 GET /api/grants/opportunities/?page_size=1 200 0.010s [anonymous]
